######################################################################
#
# XLX live YSF Master Reflector host file.
#
# This host file is auto-generated by the
# XLX self-registration mechanism.
#
######################################################################
#
# If you find a mismatched entry please sent a mail to: dvc@rlx.lu
# Last update: 31.08.2020
#
###################################################################### 
#
# XLX-YSF Reflectors
#
XLX000	45.56.118.86
XLX001	185.203.118.135
XLX004	44.103.34.3
XLX005	87.117.229.51
XLX007	80.69.86.234
XLX010	85.197.129.86
XLX011	81.95.126.168
XLX013	18.188.189.124
XLX015	194.59.205.228
XLX016	150.66.42.17
XLX017	54.38.181.76
XLX018	5.249.148.156
XLX019	31.7.247.58
XLX020	66.175.215.217
XLX022	83.137.45.98
XLX023	77.85.192.94
XLX024	80.211.62.178
XLX026	209.42.149.140
XLX027	213.159.132.69
XLX028	216.128.130.30
XLX029	45.62.239.138
XLX031	81.7.11.224
XLX032	158.64.26.140
XLX033	46.226.178.81
XLX034	89.106.108.151
XLX036	45.32.160.226
XLX037	198.100.154.155
XLX038	164.68.100.69
XLX039	31.14.142.119
XLX040	109.71.45.29
XLX041	24.218.238.119
XLX042	157.7.221.186
XLX043	206.189.239.225
XLX046	98.128.173.195
XLX047	202.171.147.58
XLX048	45.62.213.248
XLX050	45.32.129.65
XLX051	93.186.254.219
XLX052	121.114.140.147
XLX053	10.49.243.18
XLX054	208.104.55.181
XLX056	155.138.237.66
XLX058	150.66.16.176
XLX060	45.76.133.116
XLX061	165.22.121.251
XLX062	52.139.47.149
XLX064	122.222.1.50
XLX068	92.222.145.202
XLX069	51.77.213.200
XLX070	18.130.199.150
XLX071	211.60.41.185
XLX072	45.22.199.201
XLX073	178.128.216.38
XLX075	211.60.41.186
XLX076	203.137.116.117
XLX077	23.94.25.146
XLX080	121.85.181.113
XLX081	121.84.20.30
XLX083	185.141.61.143
XLX085	113.150.26.8
XLX088	194.109.192.235
XLX089	194.109.192.236
XLX094	96.126.124.4
XLX095	203.137.76.53
XLX096	125.135.231.82
XLX098	221.170.106.177
XLX099	80.211.27.75
XLX100	45.62.241.133
XLX101	185.91.116.107
XLX102	45.79.220.142
XLX104	50.116.38.232
XLX105	51.254.99.78
XLX106	69.163.163.88
XLX109	218.221.179.75
XLX110	140.82.14.24
XLX111	61.195.96.160
XLX112	104.148.41.57
XLX116	80.211.90.242
XLX117	201.217.131.107
XLX118	5.249.148.252
XLX122	194.37.80.40
XLX123	200.61.178.98
XLX124	211.14.169.234
XLX126	217.173.179.95
XLX127	223.134.198.245
XLX129	220.145.77.199
XLX131	80.127.118.226
XLX132	91.203.55.87
XLX133	81.174.3.170
XLX140	95.211.211.145
XLX143	161.35.235.224
XLX144	54.188.28.93
XLX150	192.241.158.197
XLX151	94.254.105.236
XLX160	61.195.109.179
XLX174	81.169.128.244
XLX175	162.248.92.25
XLX176	128.22.152.69
XLX177	51.77.151.223
XLX183	45.32.75.47
XLX185	89.215.13.208
XLX191	153.92.4.97
XLX192	118.27.9.127
XLX194	80.211.99.53
XLX200	62.171.191.147
XLX201	157.245.45.67
XLX202	81.231.241.25
XLX204	82.171.119.45
XLX207	150.129.138.49
XLX208	51.178.80.187
XLX211	47.110.34.230
XLX213	190.213.202.21
XLX214	185.47.129.230
XLX215	108.61.75.164
XLX216	74.214.25.135
XLX219	3.225.138.100
XLX220	124.41.83.11
